mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__alpha,param_regressor__eta0,param_regressor__l1_ratio,param_regressor__learning_rate,param_regressor__loss,param_regressor__max_iter,param_regressor__penalty,param_regressor__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.21685290336608887,0.006161483619278281,0.0029978275299072264,0.0009277276817075623,1e-05,0.001,0.5,adaptive,squared_error,20000,elasticnet,0.0001,"{'regressor__alpha': 1e-05, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'elasticnet', 'regressor__tol': 0.0001}",-3400019.8364159046,-4873436.819692066,-10044322.757451817,-8110920.967226606,-6812291.250865955,-6648198.32633047,2340965.0604620804,28
0.26992053985595704,0.05737519370346383,0.0032808780670166016,0.000715430810482845,1e-05,0.001,0.15,adaptive,squared_error,20000,l2,0.0001,"{'regressor__alpha': 1e-05, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l2', 'regressor__tol': 0.0001}",-3400016.083507552,-4873402.566740463,-10044327.315860968,-8110896.841771721,-6812522.0262736175,-6648232.966830865,2340972.84067182,29
0.18723788261413574,0.006983568100937619,0.0032530307769775392,0.0008735822588583084,1e-05,0.001,0.5,adaptive,squared_error,20000,l2,0.0001,"{'regressor__alpha': 1e-05, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l2', 'regressor__tol': 0.0001}",-3400016.083507552,-4873402.566740463,-10044327.315860968,-8110896.841771721,-6812522.0262736175,-6648232.966830865,2340972.84067182,29
0.39863085746765137,0.051966968468455284,0.004168176651000976,0.002146445530594053,1e-05,0.001,0.15,adaptive,squared_error,20000,elasticnet,0.0001,"{'regressor__alpha': 1e-05, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'elasticnet', 'regressor__tol': 0.0001}",-3400017.209276999,-4873412.842365085,-10044325.948042028,-8110904.079236371,-6812522.980771009,-6648236.611938299,2340971.491092588,31
0.38538708686828616,0.054404273121574934,0.004893350601196289,0.0031789815961567915,0.0001,0.001,0.5,adaptive,squared_error,20000,elasticnet,0.0001,"{'regressor__alpha': 0.0001, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'elasticnet', 'regressor__tol': 0.0001}",-3399985.7382399486,-4872373.3943959065,-10046270.583373263,-8108592.077105518,-6816166.062283243,-6648677.571079576,2341465.1904156203,32
0.211653995513916,0.011960668188244733,0.0028974056243896485,0.00034729280113494535,0.01,0.01,0.5,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 0.01, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3390966.530151871,-4901953.660473261,-10035752.002667345,-8135153.727786481,-6804454.820305241,-6653656.14827684,2339647.5305422223,33
0.19430184364318848,0.009209194131668803,0.0021434783935546874,0.00012585119313412532,0.01,0.01,0.15,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 0.01, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3390966.530151871,-4901953.660473261,-10035752.002667345,-8135153.727786481,-6804454.820305241,-6653656.14827684,2339647.5305422223,33
0.24613494873046876,0.004209411222292187,0.002441263198852539,0.00041423551196180346,0.001,0.01,0.15,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 0.001, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3391002.0458773477,-4902010.662788174,-10035752.803131407,-8135249.556129681,-6804497.230389262,-6653702.459663173,2339642.003770561,35
0.2067718029022217,0.009763097269915002,0.002389383316040039,0.00034259860173874797,0.001,0.01,0.5,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 0.001, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3391002.0458773477,-4902010.662788174,-10035752.803131407,-8135249.556129681,-6804497.230389262,-6653702.459663173,2339642.003770561,35
0.276196813583374,0.018830149452431787,0.0037462711334228516,0.0009192453453251455,0.0001,0.01,0.5,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 0.0001, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3391005.597633756,-4902016.363116211,-10035752.883425673,-8135259.127853671,-6804501.471535273,-6653707.088712918,2339641.4497156967,37
